N,k,r,alpha,a,b,dropout_at_zero,idx_total,bias_cnbd,bias_nbd,mae_cnbd,mae_nbd,rmse_cnbd,rmse_nbd,lift_mae,lift_rmse,x0,alive,p,lambda,x_,T.star
4000,3,0.25,1.66666666666667,0.5,2.5,FALSE,3,0.0050001295933767,0.0421477017786371,0.301712757224597,0.325026302695192,0.601776951500318,0.623346652288547,0.928271818996573,0.965396941318224,0.58675,0.848,0.165937678846664,0.143532198423529,3.52934059286146,16
4000,4,0.25,1.25,0.5,2.5,FALSE,4,0.014898415768413,0.0639208045467804,0.283969397283167,0.30866402454893,0.528632264465542,0.545550221195146,0.919995123170408,0.968989185463913,0.58325,0.84525,0.162650606457115,0.209107913159654,3.79004199160168,16
4000,1,0.5,5,0.5,2.5,FALSE,5,0.0134076576778007,0.0134076576778007,0.580413492584776,0.580413492584776,1.06205348269807,1.06205348269807,1,1,0.29375,0.706,0.164377099445613,0.103614188153942,4.70513274336283,16
4000,2,0.5,2.5,0.5,2.5,FALSE,6,0.0499437105983113,0.0800680079160541,0.503408017139131,0.533963202350902,0.872059204115948,0.889290720492148,0.942776608805167,0.980623303516915,0.3055,0.71075,0.168923398754477,0.197566754604117,4.34485241180706,16
4000,3,0.5,1.66666666666667,0.5,2.5,FALSE,7,-0.0132395572663682,0.0556313833557608,0.442132616071269,0.486801805350498,0.755469680713749,0.782432641599545,0.908239474898687,0.9655395756104,0.325,0.721,0.161745174255108,0.308373074959459,4.64777777777778,16
4000,4,0.5,1.25,0.5,2.5,FALSE,8,-0.0166612048664259,0.0392819134566688,0.431692680435995,0.483019302354946,0.731190396517979,0.764157734475049,0.893737948631226,0.956857941142587,0.32175,0.72175,0.166750969756556,0.406271017481764,4.44157758938445,16
4000,1,0.25,5,0.5,2.5,FALSE,1,0.0648017483716021,0.0648017483716021,0.137547514551026,0.137547514551026,0.336847115022527,0.336847115022527,1,1,0.53825,0.82975,0.166551658384543,0.0527066272593903,3.76394152680022,4
4000,2,0.25,2.5,0.5,2.5,FALSE,2,-0.0177838971789691,-0.00459931279408867,0.126979545161436,0.13047602043848,0.289884258290505,0.289703302280902,0.973202161858609,1.00062462529139,0.56925,0.83675,0.167312678351089,0.0991523300995342,3.54614045269878,4
4000,3,0.25,1.66666666666667,0.5,2.5,FALSE,3,-0.0470448451744407,-0.0220575399498809,0.122282923872827,0.1278096634722,0.28503382277022,0.287483198671226,0.956758045915871,0.991479933741078,0.58675,0.848,0.165937678846664,0.143532198423529,3.52934059286146,4
4000,4,0.25,1.25,0.5,2.5,FALSE,4,0.0818601148594367,0.121980894491272,0.107739937785241,0.114175201159,0.242484129065107,0.244028697298138,0.943636942975053,0.993670546742524,0.58325,0.84525,0.162650606457115,0.209107913159654,3.79004199160168,4
4000,1,0.5,5,0.5,2.5,FALSE,5,0.00384432596517744,0.00384432596517744,0.22061829001322,0.22061829001322,0.453290375998174,0.453290375998174,1,1,0.29375,0.706,0.164377099445613,0.103614188153942,4.70513274336283,4
4000,2,0.5,2.5,0.5,2.5,FALSE,6,0.0566624154420643,0.0788877366697291,0.200646617496423,0.208114703933726,0.380992085515204,0.382695758085054,0.964115527177354,0.995548232417377,0.3055,0.71075,0.168923398754477,0.197566754604117,4.34485241180706,4
4000,3,0.5,1.66666666666667,0.5,2.5,FALSE,7,0.00517312773642712,0.0658809449143067,0.184718220268475,0.196309440183205,0.348616033828998,0.350286420536703,0.940954342776831,0.9952313689319,0.325,0.721,0.161745174255108,0.308373074959459,4.64777777777778,4
4000,4,0.5,1.25,0.5,2.5,FALSE,8,-0.00268586516165183,0.0425612937130638,0.192529610733787,0.203922219910652,0.352414034077112,0.353894965373336,0.944132575734725,0.995815336636221,0.32175,0.72175,0.166750969756556,0.406271017481764,4.44157758938445,4
