"category","measure","model","value","k_wheat_tot","k_wheat"
"Baeckerei_Konditorwaren","a","BG/CNBD-k",0.70570807501884,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","a","MBG/NBD",0.587304407401107,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","a","MBG/CNBD-k",0.678395210403114,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","b","BG/NBD",2.44150334301549,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","b","BG/CNBD-k",2.1309067921605,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","b","MBG/NBD",0.81617598412505,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","b","MBG/CNBD-k",0.840183643316193,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","k","BG/NBD",1,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","k","BG/CNBD-k",2,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","k","MBG/NBD",1,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","k","MBG/CNBD-k",2,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","N","BG/NBD",1322,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","N","BG/CNBD-k",1322,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","N","MBG/NBD",1322,"1.68450054219302","1.74519568682127"
"Baeckerei_Konditorwaren","N","MBG/CNBD-k",1322,"1.68450054219302","1.74519568682127"
"Bier","MAE","BG/NBD",1.08576656684526,"2.0459318218952","2.22929879285969"
"Bier","MAE","BG/CNBD-k",1.03220482140046,"2.0459318218952","2.22929879285969"
"Bier","MAE","MBG/NBD",1.06404291109551,"2.0459318218952","2.22929879285969"
"Bier","MAE","MBG/CNBD-k",0.987953654011796,"2.0459318218952","2.22929879285969"
"Bier","RMSE","BG/NBD",2.35311783564953,"2.0459318218952","2.22929879285969"
"Bier","RMSE","BG/CNBD-k",2.44343191333105,"2.0459318218952","2.22929879285969"
"Bier","RMSE","MBG/NBD",2.34580057498509,"2.0459318218952","2.22929879285969"
"Bier","RMSE","MBG/CNBD-k",2.43368475187449,"2.0459318218952","2.22929879285969"
"Bier","BIAS","BG/NBD",0.125456380066896,"2.0459318218952","2.22929879285969"
"Bier","BIAS","BG/CNBD-k",-0.0440579985256198,"2.0459318218952","2.22929879285969"
"Bier","BIAS","MBG/NBD",0.100105165845194,"2.0459318218952","2.22929879285969"
"Bier","BIAS","MBG/CNBD-k",-0.0896652853640402,"2.0459318218952","2.22929879285969"
"Bier","LL","BG/NBD",-7367.98008307576,"2.0459318218952","2.22929879285969"
"Bier","LL","BG/CNBD-k",-6992.54129136972,"2.0459318218952","2.22929879285969"
"Bier","LL","MBG/NBD",-7367.1245848399,"2.0459318218952","2.22929879285969"
"Bier","LL","MBG/CNBD-k",-6982.55066414827,"2.0459318218952","2.22929879285969"
"Bier","r","BG/NBD",0.274063567625328,"2.0459318218952","2.22929879285969"
"Bier","r","BG/CNBD-k",0.280940846283665,"2.0459318218952","2.22929879285969"
