"cust","date","amt"
7442,2009-08-06,105
7442,2009-08-31,246.9
7442,2009-09-10,277
7442,2009-09-18,79
7442,2009-09-21,268
7442,2009-09-23,59
7442,2009-10-13,173
7442,2009-11-02,298
7442,2009-11-06,129
7442,2009-11-11,259
7442,2009-11-13,0
7442,2009-11-23,29.9
7442,2009-12-05,29.9
7442,2009-12-13,418
7442,2009-12-20,97.8
7442,2010-01-08,69
7442,2010-02-09,89
7442,2010-02-24,164
7442,2010-04-04,49
7442,2010-04-18,637
7443,2009-04-18,163
7444,2009-04-10,161
7444,2009-05-05,78
7444,2009-05-06,1
7444,2009-05-19,185
7444,2009-07-08,279
7444,2009-07-12,376.6
7444,2009-07-15,7.9
7444,2009-07-24,245.8
7444,2009-09-04,223.9
7444,2009-12-11,125.8
7444,2009-12-25,307.7
7444,2009-12-31,163.9
7444,2010-01-08,708.8
7444,2010-01-15,135.9
7444,2010-01-25,87.9
7444,2010-03-16,213.9
7444,2010-03-19,14.8
7444,2010-03-28,186
7444,2010-04-20,349.9
7445,2009-04-15,265
7445,2009-04-29,49
7445,2009-05-13,388
7445,2009-05-22,288
7445,2009-05-27,618.8
7445,2009-06-03,361.3
7445,2009-06-11,19.9
7446,2009-04-15,29
7447,2009-04-15,167
7447,2009-06-12,423.9
7447,2009-06-22,49
7447,2009-07-03,108
7447,2009-09-07,168
7447,2009-09-21,193
7447,2009-10-12,178
7447,2009-10-30,58.9
7447,2010-03-16,49
7447,2010-04-09,358
7447,2010-04-12,0
7447,2010-04-14,208
7449,2009-04-18,78
7453,2009-04-11,262
7453,2009-05-30,109.9
7453,2009-08-23,443.4
7453,2009-10-15,642
7453,2009-10-29,412.7
7453,2009-10-30,259
7453,2009-11-07,345
7453,2009-11-10,292
7453,2009-11-13,442
7453,2009-11-16,79
7453,2009-11-19,218
7453,2010-01-01,1163.9
7453,2010-01-31,763
7453,2010-02-05,466
7453,2010-03-01,104.8
7453,2010-03-16,467.9
7453,2010-03-18,159
7453,2010-04-23,437
7455,2009-04-16,29
7458,2009-04-22,148
7459,2009-04-19,89
7459,2010-04-21,198
7460,2009-04-09,211
7462,2009-04-18,49
7462,2009-05-20,333
7462,2009-05-27,146
7462,2009-05-28,19
7462,2009-06-24,305
7462,2009-06-25,83
7463,2009-04-18,199
7467,2009-04-13,99
7467,2009-07-05,39
7467,2009-07-18,128
7468,2009-04-12,79
7469,2009-04-27,158
7469,2009-05-03,87
7469,2009-05-05,19
7469,2009-06-22,153
7470,2009-04-27,413
7473,2009-04-11,78
7473,2009-04-18,58
7474,2009-04-18,89
7475,2009-04-22,698
7475,2009-04-23,187
7475,2009-08-25,896
7475,2009-08-26,217
7475,2009-10-09,731
7475,2009-10-19,258
7475,2010-03-21,122
7475,2010-03-22,119
7475,2010-03-26,79
7476,2009-04-13,124
7476,2009-04-18,269
7477,2009-04-22,39
7477,2009-10-17,99
7477,2009-11-20,176
7477,2009-12-09,199
7478,2009-04-21,148
7478,2009-04-24,59
7478,2009-06-01,279
7478,2009-06-28,383
7478,2009-07-01,49
7478,2009-12-29,178
7479,2009-04-17,119
7479,2009-06-05,99
7482,2009-04-26,108
7482,2009-06-06,179
7482,2009-06-19,200
7482,2009-11-24,149
7485,2009-04-14,277
7486,2009-04-24,175.9
7487,2009-04-20,226
7487,2009-09-01,59
7488,2009-04-24,89
7491,2009-04-18,89
7491,2009-07-05,29
7491,2009-10-25,218
7492,2009-04-12,59
7493,2009-04-25,79
7495,2009-04-25,49
7495,2009-05-11,108
7495,2009-05-22,79
7496,2009-04-17,387
7496,2009-05-06,172
7496,2009-06-02,790.8
7497,2009-04-12,188
7497,2009-07-03,21
7497,2009-07-20,172
7497,2009-11-03,257
7497,2009-11-16,219
7512,2009-04-28,281
7512,2009-08-31,455.9
7512,2009-12-11,89
7517,2009-04-29,39
7517,2009-07-05,118
7517,2009-11-24,604
7519,2009-04-30,247
7558,2009-04-29,89
7559,2009-04-29,29
7559,2009-05-04,49
7680,2009-04-03,19
7680,2009-04-14,3
7680,2009-05-04,3
7680,2009-06-20,25
7732,2009-04-04,89
7734,2009-04-14,175
7905,2009-04-19,79
7918,2009-04-15,78
7918,2009-04-21,78
7923,2009-04-10,177
7963,2009-04-10,119
7969,2009-04-05,69
7999,2009-04-09,188
7999,2009-07-31,197.9
7999,2010-02-19,105.9
8027,2009-04-01,19
8027,2009-04-27,22
8103,2009-04-25,277
8268,2009-04-12,110
8268,2009-06-29,44
8268,2009-07-05,131
8268,2009-07-26,42
8268,2009-08-13,58
8268,2009-08-31,119
8268,2009-09-05,172
8268,2009-09-15,122
8268,2009-10-05,197
8268,2009-11-11,88
8268,2009-12-18,87
8268,2010-01-10,29.9
8268,2010-01-11,19
8268,2010-01-23,75
8268,2010-02-25,39
8268,2010-03-07,53
8268,2010-03-27,88
8268,2010-04-02,59
8268,2010-04-05,79
8324,2009-04-24,171.9
8324,2009-09-27,176
8324,2009-10-27,307
8324,2009-11-04,323
8324,2009-12-05,176
8324,2009-12-10,153
8324,2009-12-19,188
8324,2010-01-20,117
8324,2010-02-16,132
8385,2009-04-12,59
8385,2009-04-17,59
8385,2009-07-18,103
8443,2009-04-27,387
8443,2009-09-25,127
8443,2009-11-11,156.9
8449,2009-04-02,62
8449,2009-11-18,268
8449,2009-11-20,307
8457,2009-04-04,79
8457,2009-04-09,39
8457,2009-05-18,99
8457,2009-06-17,127
8457,2009-06-23,45
8457,2009-09-09,108
8457,2009-10-01,25
8457,2009-10-08,29
8457,2009-11-29,109
8457,2010-01-08,69
8457,2010-01-23,79
8457,2010-02-09,39
8457,2010-03-14,107.5
8500,2009-04-16,158
8500,2009-07-17,113
8500,2009-12-30,164
8500,2010-02-07,168
9210,2009-04-12,49
9210,2009-05-04,59
9228,2009-04-07,179
9228,2009-06-04,38
9254,2009-04-09,49
9308,2009-04-07,190
9397,2009-04-30,264
9397,2009-05-22,253
9397,2009-11-24,150.8
9397,2009-12-29,277
9400,2009-04-20,98
9401,2009-04-02,177
9401,2009-05-05,26
9428,2009-04-05,208
9428,2009-06-29,435
9434,2009-04-01,114
9437,2009-04-01,188
9439,2009-04-07,380
9439,2009-04-09,39
9439,2009-04-17,29
9440,2009-04-07,99
9454,2009-04-09,63
9465,2009-04-02,128
9465,2009-06-10,88
9465,2009-06-30,49
9465,2009-09-13,387
9465,2009-11-22,379
9465,2009-12-27,295
9471,2009-04-06,376
9472,2009-04-06,59
9476,2009-04-02,29
9478,2009-04-06,59
9478,2009-04-07,99
9478,2009-05-07,89
9478,2009-12-26,49
9479,2009-04-24,208.9
9482,2009-04-18,299
9482,2009-11-27,129
9483,2009-04-15,208
9483,2009-09-03,291.9
9483,2009-09-11,12
9483,2009-12-25,296
9483,2010-02-03,59
9484,2009-04-20,417
9485,2009-04-18,178
9487,2009-04-21,178
9487,2009-05-24,139
9488,2009-04-26,59
9488,2009-06-28,59
9488,2009-08-07,101
9490,2009-04-09,168
9490,2009-06-26,327
9492,2009-04-12,39
9492,2009-06-01,49
9495,2009-04-19,61
9496,2009-04-12,39
9497,2009-04-25,59
9499,2009-04-25,484
9499,2009-05-18,461
9499,2009-05-23,461
9499,2009-05-24,68
9499,2009-05-28,78
9499,2009-05-29,190
9500,2009-04-26,119
9502,2009-04-22,227.5
9502,2009-05-19,108
9502,2009-07-18,66
9502,2009-09-25,135.9
9502,2010-04-09,159
9505,2009-04-25,49
9505,2009-06-17,59
9506,2009-04-19,139
9506,2010-04-20,238
9509,2009-04-13,89
9509,2009-09-20,210
9509,2009-11-14,29
9509,2009-11-17,68
9509,2009-11-23,39
9509,2009-12-09,308
9511,2009-04-13,58
9511,2009-04-20,107
9511,2009-07-30,117
9512,2009-04-18,69
9512,2009-06-26,79
9513,2009-04-12,19
9516,2009-04-23,81
9517,2009-04-22,79
9518,2009-04-09,148
9519,2009-04-10,218
9520,2009-04-18,258
9520,2009-08-24,277.9
9520,2009-09-18,13
9520,2009-09-22,118
9520,2009-10-21,282
9520,2009-11-18,78
9520,2009-11-23,258
9520,2009-12-01,183
9520,2009-12-15,321
9520,2010-02-08,365
9520,2010-04-22,230
9521,2009-04-26,69
9521,2009-05-03,49
9522,2009-04-14,48
9525,2009-04-26,49
9525,2009-11-19,155.9
9526,2009-04-15,101
9526,2009-06-08,147
9527,2009-04-19,39
9528,2009-04-17,79
9531,2009-04-26,181
9531,2009-08-20,79
9533,2009-04-12,500
9534,2009-04-10,39
9534,2010-03-10,39
9537,2009-04-10,178
9537,2009-05-18,98
9537,2009-09-21,79
9541,2009-04-14,48
9541,2009-04-20,127
9541,2009-04-21,88
9541,2009-06-10,71
9541,2009-06-11,87
9542,2009-04-25,89
9543,2009-04-11,89
9545,2009-04-22,168
9545,2009-05-11,207
9545,2009-05-19,59
9545,2009-06-04,304
9545,2009-10-12,158
9547,2009-04-25,29
9547,2009-07-24,69
9549,2009-04-11,228
9589,2009-04-27,49
9602,2009-04-28,102
9602,2009-05-28,351
9605,2009-04-30,99
9605,2009-06-06,157
9605,2009-07-25,108
9606,2009-04-29,307
9606,2009-06-08,287.9
9606,2009-06-11,153
9611,2009-04-30,29
9611,2010-03-26,112
9611,2010-04-21,19
9611,2010-04-24,29
9617,2009-04-29,39
9617,2010-02-15,69
9619,2009-04-05,274
9619,2009-08-16,161
9621,2009-04-28,69
9623,2009-04-30,169
9623,2009-09-28,148
9692,2009-04-16,59
9692,2009-04-20,119
9692,2009-07-16,78
9692,2009-08-04,39
9692,2009-08-19,141
9692,2009-11-28,19
9692,2009-12-04,39
9692,2010-01-20,158.9
9692,2010-04-13,153
9814,2009-04-13,111
9814,2009-04-22,59
9854,2009-04-01,54
9854,2009-04-15,69
9854,2009-04-16,79
9896,2009-04-28,187
9917,2009-04-10,167
9917,2009-04-29,177
9917,2009-05-21,181
9917,2009-12-30,78
9931,2009-04-05,280.9
9941,2009-04-11,69
9941,2009-06-07,69
9941,2009-06-21,29
9941,2010-01-31,359
9961,2009-04-15,334.8
9969,2009-04-17,187
10004,2009-04-02,347
10004,2009-05-12,158
10004,2009-05-14,305
10004,2009-09-08,515
10004,2009-10-09,470
10004,2009-10-15,219
10004,2009-11-05,398
10004,2009-11-18,127.9
10004,2009-11-19,69
10004,2009-12-30,339.6
10004,2010-01-08,49
10004,2010-02-23,365
10025,2009-04-13,226
10025,2009-04-23,273
10025,2009-05-06,477.9
10025,2009-05-13,270
10025,2009-05-14,571
10025,2009-05-17,185
10025,2009-05-27,835.9
10025,2009-05-30,256
10025,2009-06-02,256
10025,2009-06-04,69
10025,2009-06-06,279
10025,2009-06-17,268
