"merchant","cust","date","first"
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-05-08,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-04-30,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-04-25,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-04-16,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-04-08,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-04-02,2014-03-27
"office","1bb6a8806dbdbd3d74580c32a801bbba",2014-03-27,2014-03-27
"office","1bbeb21c569e6683f7136c7a143c3cc8",2014-09-30,2014-03-28
"office","1bbeb21c569e6683f7136c7a143c3cc8",2014-09-19,2014-03-28
"office","1bbeb21c569e6683f7136c7a143c3cc8",2014-08-13,2014-03-28
"office","1bbeb21c569e6683f7136c7a143c3cc8",2014-08-01,2014-03-28
"office","1bbeb21c569e6683f7136c7a143c3cc8",2014-05-06,2014-03-28
"office","1bbeb21c569e6683f7136c7a143c3cc8",2014-03-28,2014-03-28
"office","1bca81293b61f1b24e23829d8fca573f",2014-04-24,2014-04-24
"office","1c23278703f28dae4146ffd08c6b0046",2014-04-03,2014-04-03
"office","1c674bd395fc3220db2f7b439a8b28eb",2014-07-17,2014-04-10
"office","1c674bd395fc3220db2f7b439a8b28eb",2014-07-10,2014-04-10
"office","1c674bd395fc3220db2f7b439a8b28eb",2014-07-09,2014-04-10
"office","1c674bd395fc3220db2f7b439a8b28eb",2014-05-20,2014-04-10
"office","1c674bd395fc3220db2f7b439a8b28eb",2014-04-16,2014-04-10
"office","1c674bd395fc3220db2f7b439a8b28eb",2014-04-10,2014-04-10
"office","1d195a046a5a54ce4f7857f7382973e0",2014-03-27,2014-03-27
"office","1d269fae6e65456641541e436f03f8f8",2014-04-03,2014-04-03
"office","1d653ce4ca06d8d015d8b4541c2e1a2d",2014-07-02,2014-04-23
"office","1d653ce4ca06d8d015d8b4541c2e1a2d",2014-04-23,2014-04-23
"office","1d8fbc3d6b700379a064a82fa5572e8c",2014-04-04,2014-04-04
"office","1df1042accc7173ccfccd7b040a7b923",2014-04-15,2014-04-15
"office","1e395e601c1ce8c98caa94b107a36950",2014-04-29,2014-04-29
"office","1e8f61a9ac2b3049d2899df5c591aeb6",2014-04-10,2014-04-10
"office","1ebb28e61299c83006f325b6fa0f945b",2014-03-31,2014-03-31
"office","1ee263bf504b7f586167e789a89b06dc",2014-10-03,2014-04-10
"office","1ee263bf504b7f586167e789a89b06dc",2014-05-23,2014-04-10
"office","1ee263bf504b7f586167e789a89b06dc",2014-04-10,2014-04-10
"office","1ef1ec4cdba3fa47803d510debffdd8f",2014-04-11,2014-04-11
"office","1f33ac064d0a3e068e0dd71fd4090e03",2014-04-21,2014-04-21
"office","1f5410873e58f125f3061723606eec2f",2014-03-27,2014-03-27
"office","1f54149b140fa664ae29b0e49cc1b603",2014-04-28,2014-04-28
"office","1f651df78f26c85b802e016d4ff43b45",2014-04-28,2014-04-28
"office","1fa4a2c9062061418b31aa2a0c69f247",2014-03-25,2014-03-25
"office","1fb52b6cf22ed30874d87ea84534464e",2014-04-04,2014-04-04
"office","1fb6518299af4a6a983e5e3403764858",2014-04-04,2014-04-04
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-10-28,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-09-30,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-08-07,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-07-11,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-05-30,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-05-09,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-04-16,2014-03-26
"office","1fd6b6bb6762d4b66c95f0d2f7d720f4",2014-03-26,2014-03-26
"office","2005d4b674cc87aef56826adc0e006f9",2014-07-29,2014-03-30
"office","2005d4b674cc87aef56826adc0e006f9",2014-03-30,2014-03-30
"office","2028fa4d0e6c4caf3991edc5c5c9c93b",2014-04-28,2014-04-08
"office","2028fa4d0e6c4caf3991edc5c5c9c93b",2014-04-08,2014-04-08
"office","21ad576bb1d2afbffd85b6b58fb54ff7",2014-04-01,2014-04-01
"office","21ad576bb1d2afbffd85b6b58fb54ff7",2014-04-01,2014-04-01
"office","21c420215b09a079c2b5ca1772bd0e87",2014-04-21,2014-04-21
"office","21f3e62014aeadba00d8e2e6ea6f67e7",2014-03-28,2014-03-28
"office","22499640d864998d697f11b743c88a86",2014-04-11,2014-04-11
"office","228ca494f87905c5bc665b46992794f2",2014-04-22,2014-04-22
"office","22d7d48facb3c8ca76247e9261eb299f",2014-04-08,2014-04-08
"office","231236e16904d74513f3cb5e42abed12",2014-04-03,2014-04-03
"office","2353c3857b8ab8dc96aebbc770c2f71a",2014-04-06,2014-04-06
"office","235f7cde5462bb1756acf063163ccd2f",2014-04-25,2014-04-25
"office","23b67a7e5e9a3c3ae9e21b025e89f151",2014-04-01,2014-04-01
"office","243a8ab3020f69a165a19af0131c4be3",2014-04-30,2014-04-30
"office","2513f8299e70ae7ef1b4090f71ed8fcf",2014-04-28,2014-04-28
"office","2563fec2d5bd2954c4232c97ff34db1b",2014-04-09,2014-04-09
"office","25e8c34a6500af753232836ee30baebf",2014-03-26,2014-03-26
"office","2637d64510fcfda6269a8eb84855d670",2014-04-07,2014-04-07
"office","264fe8a0fdcb160a4186be2052e21d47",2014-03-27,2014-03-27
"office","26f95d38b85f804a68953ae1f3219244",2014-04-09,2014-04-09
"office","275a5131c7c6dbec0163ed5855e85859",2014-04-22,2014-04-22
"office","275be5016d7672cb75b233af656586ee",2014-04-10,2014-04-10
"office","278ef7c7e9a5950bc11ee08ac1eaf429",2014-04-27,2014-04-27
"office","2799357a3dbb98a95bc1ce03e1f90c3d",2014-04-24,2014-04-24
"office","27baa349e1fad11fdf1ce6764ce104e0",2014-09-25,2014-04-29
"office","27baa349e1fad11fdf1ce6764ce104e0",2014-06-23,2014-04-29
"office","27baa349e1fad11fdf1ce6764ce104e0",2014-06-02,2014-04-29
"office","27baa349e1fad11fdf1ce6764ce104e0",2014-04-29,2014-04-29
"office","27c1cc3523956fdc09e3fc864bb857ab",2014-04-15,2014-04-15
"office","27cec0a52533686233bf5b8b2d711d57",2014-04-15,2014-04-15
"office","28477764c2116bd78afe01f285ca0287",2014-04-01,2014-04-01
"office","2852c81b1985ac634d05002444d7dc9b",2014-04-30,2014-04-30
"office","2899a39607b86c027f9b10281f1ae64e",2014-10-13,2014-04-26
"office","2899a39607b86c027f9b10281f1ae64e",2014-08-19,2014-04-26
"office","2899a39607b86c027f9b10281f1ae64e",2014-06-18,2014-04-26
"office","2899a39607b86c027f9b10281f1ae64e",2014-04-26,2014-04-26
"office","28dcfb03eb3a5fe1e3e575bb481f969b",2014-04-21,2014-04-21
"office","28e5502b3f3dcc8b025bf9e41592630e",2014-07-28,2014-04-01
"office","28e5502b3f3dcc8b025bf9e41592630e",2014-04-01,2014-04-01
"office","2907318a9bafca71ddf44f867513e035",2014-04-08,2014-04-08
"office","2937f154d210c3a27182a8f4bb023afb",2014-03-28,2014-03-28
"office","299b49ee5663100a864ee0db2e74e3eb",2014-03-28,2014-03-28
"office","29b489c00860f6f002627c4c8ebbe220",2014-04-01,2014-04-01
"office","2a0d0831176b94e966500251c1e46f13",2014-04-11,2014-04-11
"office","2a8b28ffb90862fcfc1c89fc13c80215",2014-09-09,2014-04-14
"office","2a8b28ffb90862fcfc1c89fc13c80215",2014-08-15,2014-04-14
"office","2a8b28ffb90862fcfc1c89fc13c80215",2014-07-28,2014-04-14
"office","2a8b28ffb90862fcfc1c89fc13c80215",2014-05-15,2014-04-14
"office","2a8b28ffb90862fcfc1c89fc13c80215",2014-04-14,2014-04-14
"office","2add534b5aa23ca6b6b6c41b7f3d1a1e",2014-04-14,2014-04-14
"office","2aeadc68df1ca7aa73600b1f1d79ec3e",2014-06-05,2014-03-28
"office","2aeadc68df1ca7aa73600b1f1d79ec3e",2014-03-28,2014-03-28
"office","2af626982ff7b686393c1dccdeb46e27",2014-04-08,2014-04-08
"office","2b2b388a9f3a30812767bc00ce4e8932",2014-04-10,2014-04-10
"office","2bb3eebbeefbc1609e0faf8b5c195cf8",2014-04-10,2014-04-10
"office","2bdfd7544fd8475bd25abddc8f985c73",2014-10-08,2014-04-04
"office","2bdfd7544fd8475bd25abddc8f985c73",2014-04-04,2014-04-04
"office","2bf6a2236a10143710733c97bbc84d77",2014-10-16,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-10-02,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-09-10,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-08-20,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-07-22,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-07-01,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-05-30,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-05-23,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-05-22,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-05-12,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-05-01,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-04-24,2014-04-17
"office","2bf6a2236a10143710733c97bbc84d77",2014-04-17,2014-04-17
"office","2c1ab7406bbca0baa644bb797c3088bf",2014-04-10,2014-04-10
"office","2c9e2d409aa8c50a2a8ea9a4fcec8578",2014-06-17,2014-03-26
"office","2c9e2d409aa8c50a2a8ea9a4fcec8578",2014-05-02,2014-03-26
"office","2c9e2d409aa8c50a2a8ea9a4fcec8578",2014-04-30,2014-03-26
"office","2c9e2d409aa8c50a2a8ea9a4fcec8578",2014-03-26,2014-03-26
"office","2ccfc51746f056844c4790a8a88c9ff1",2014-04-28,2014-04-28
"office","2d0591bdb8a5742306407d25c3724253",2014-04-23,2014-04-23
"office","2d3804a8086c32a0a0f694a459e8a060",2014-09-07,2014-04-10
"office","2d3804a8086c32a0a0f694a459e8a060",2014-05-12,2014-04-10
"office","2d3804a8086c32a0a0f694a459e8a060",2014-04-10,2014-04-10
"office","2d531e270ea2095b51404e9a4ade2b8b",2014-04-16,2014-04-16
"office","2d609f40a91dc6c60ff8718b3733c624",2014-10-20,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-10-07,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-09-12,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-09-10,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-09-03,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-08-04,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-07-07,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-05-30,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-05-21,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-05-03,2014-04-24
"office","2d609f40a91dc6c60ff8718b3733c624",2014-04-24,2014-04-24
"office","2d64789c9664834b2d107c8d08470599",2014-10-30,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-10-29,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-10-29,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-10-29,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-10-28,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-10-28,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-10-09,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-09-04,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-09-03,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-09-02,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-08-13,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-08-12,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-08-08,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-08-06,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-08-04,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-31,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-29,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-24,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-16,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-15,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-14,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-10,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-08,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-07,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-04,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-03,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-02,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-07-01,2014-03-25
"office","2d64789c9664834b2d107c8d08470599",2014-06-30,2014-03-25
