cust,date
11249687,01/02/2002
11249695,01/02/2002
11249703,01/02/2002
11249703,07/30/2002
11249703,03/31/2003
11249703,12/02/2003
11249703,10/11/2004
11249703,11/04/2004
11249703,04/13/2006
11249703,08/07/2006
11249711,01/02/2002
11249711,07/05/2002
11249711,11/17/2003
11249711,10/12/2004
11249711,03/01/2005
11249729,01/02/2002
11249737,01/02/2002
11249737,04/04/2003
11249737,09/27/2004
11249745,01/02/2002
11249752,01/02/2002
11249760,01/02/2002
11249778,01/02/2002
11249786,01/02/2002
11249786,01/28/2003
11249786,10/02/2003
11249786,10/07/2004
11249786,07/11/2005
11249786,02/03/2006
11249794,01/02/2002
11249844,01/09/2002
11249844,01/09/2002
11249844,02/05/2002
11249844,03/05/2002
11249844,04/05/2002
11249844,05/06/2002
11249844,06/05/2002
11249844,07/05/2002
11249844,08/05/2002
11249844,09/05/2002
11249844,10/05/2002
11249844,11/05/2002
11249844,12/05/2002
11249844,01/05/2003
11249844,02/05/2003
11249844,03/05/2003
11249844,04/05/2003
11249844,05/05/2003
11249844,06/05/2003
11249844,07/05/2003
11249844,08/05/2003
11249844,09/05/2003
11249844,10/05/2003
11249844,11/05/2003
11249844,12/05/2003
11249844,01/05/2004
11249844,02/05/2004
11249844,03/05/2004
11249844,04/05/2004
11249844,05/05/2004
11249844,06/05/2004
11249844,07/05/2004
11249844,08/05/2004
11249844,09/05/2004
11249844,10/05/2004
11249844,11/05/2004
11249844,12/06/2004
11249844,01/05/2005
11249844,02/05/2005
11249844,03/05/2005
11249844,04/05/2005
11249844,05/05/2005
11249844,06/05/2005
11249844,07/05/2005
11249844,08/05/2005
11249844,09/05/2005
11249844,10/05/2005
11249844,11/05/2005
11249844,12/05/2005
11249844,01/05/2006
11249844,02/05/2006
11249844,03/05/2006
11249844,04/05/2006
11249844,05/05/2006
11249844,06/05/2006
11249844,07/05/2006
11249844,08/05/2006
11249851,01/09/2002
11249851,02/05/2002
11249851,03/05/2002
11249851,04/05/2002
11249851,05/06/2002
11249851,06/05/2002
11249851,07/05/2002
11249851,08/05/2002
11249851,09/05/2002
11249851,10/05/2002
11249851,11/05/2002
11249851,12/05/2002
11249851,01/05/2003
11249869,01/09/2002
11249869,02/05/2002
11249869,03/05/2002
11249869,04/05/2002
11249869,05/06/2002
11249869,06/05/2002
11249869,07/05/2002
11249869,08/05/2002
11249869,09/05/2002
11249869,10/05/2002
11249869,11/05/2002
11249869,12/05/2002
11249869,01/05/2003
11249869,02/05/2003
11249869,03/05/2003
11249869,04/05/2003
11249869,05/05/2003
11249869,06/05/2003
11249869,07/05/2003
11249869,08/05/2003
11249869,09/05/2003
11249869,10/05/2003
11249869,11/05/2003
11249869,12/05/2003
11249869,01/05/2004
11249869,02/05/2004
11249869,03/05/2004
11249869,04/05/2004
11249869,05/05/2004
11249869,06/05/2004
11249869,07/05/2004
11249869,08/05/2004
11249869,09/05/2004
11249869,10/05/2004
11249869,11/05/2004
11249869,12/06/2004
11249869,01/05/2005
11249869,02/05/2005
11249869,03/05/2005
11249869,04/05/2005
11249869,05/05/2005
11249869,06/05/2005
11249869,07/05/2005
11249869,08/05/2005
11249869,09/05/2005
11249869,10/05/2005
11249869,11/05/2005
11249869,12/05/2005
11249869,01/05/2006
11249869,02/05/2006
11249869,03/05/2006
11249869,04/05/2006
11249869,05/05/2006
11249869,06/05/2006
11249869,07/05/2006
11249869,08/05/2006
11249877,01/02/2002
11249877,08/05/2002
11249885,01/02/2002
11249885,02/06/2004
11249885,01/07/2005
11249885,01/03/2006
11249893,01/02/2002
11249901,01/02/2002
11249901,02/27/2003
11249901,04/13/2004
11249901,04/04/2005
11249901,04/17/2006
11249919,01/02/2002
11249927,01/02/2002
11249935,01/02/2002
11249943,01/02/2002
11249943,10/03/2002
11249943,11/21/2005
11249968,01/02/2002
11249968,10/23/2002
11249968,12/02/2002
11249968,04/07/2004
11249976,01/02/2002
11249976,01/06/2003
11249984,01/02/2002
11249984,04/10/2002
11249984,01/02/2003
11249984,11/28/2003
11249984,12/30/2003
11249984,05/07/2004
11249984,10/15/2004
11249984,01/03/2005
11249984,09/06/2005
11249984,01/03/2006
11249992,01/02/2002
11249992,06/14/2002
11249992,11/24/2003
11249992,12/19/2005
11250008,01/02/2002
11250008,01/08/2003
11250008,12/24/2003
11250008,12/28/2004
11250008,12/01/2005
11250016,01/02/2002
11250016,11/14/2002
11250016,12/09/2003
11250016,12/21/2004
11250016,12/06/2005
11250024,01/02/2002
11250024,12/02/2002
11250024,04/07/2003
11250024,08/05/2004
11250024,11/29/2004
11250032,01/02/2002
11250040,01/02/2002
11250040,01/02/2003
11250057,01/02/2002
11250057,12/12/2005
11250065,01/02/2002
11250073,01/02/2002
11250081,01/02/2002
11250081,01/06/2003
11250081,12/29/2003
11250081,12/28/2004
11250081,12/27/2005
11250081,02/07/2006
11250099,01/02/2002
11250107,01/02/2002
11250115,01/02/2002
11250123,01/02/2002
11250123,12/02/2002
11250131,01/02/2002
